name,author,rating,year,genre
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,2009,Non Fiction
Life,Keith Richards,4.5,2010,Non Fiction
Little Bee: A Novel,Chris Cleave,4.1,2010,Fiction
Little Blue Truck,Alice Schertle,4.9,2014,Fiction
Little Fires Everywhere,Celeste Ng,4.5,2018,Fiction
Looking for Alaska,John Green,4.5,2014,Fiction
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,2011,Non Fiction
Love You Forever,Robert Munsch,4.8,2014,Childrens
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,2018,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,2014,Non Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,2017,Non Fiction
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2009,Non Fiction
Milk and Honey,Rupi Kaur,4.7,2016,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,2017,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,2014,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,2010,Fiction
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,2019,Childrens
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,2019,Childrens
New Moon (The Twilight Saga),Stephenie Meyer,4.6,2009,Fiction
Night (Night),Elie Wiesel,4.7,2016,Non Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,2012,Non Fiction
Obama: An Intimate Portrait,Pete Souza,4.9,2017,Non Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,2012,Childrens
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,2015,Childrens
Olive Kitteridge,Elizabeth Strout,4.2,2009,Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,2011,Non Fiction
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,2017,Non Fiction
Origin: A Novel (Robert Langdon),Dan Brown,4.3,2017,Fiction
Orphan Train,Christina Baker Kline,4.6,2014,Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,2009,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,2018,Childrens
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,2010,Childrens
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,2017,Fiction
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,2016,Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,2012,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,2009,Non Fiction
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,2017,Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,2012,Non Fiction
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,2010,Non Fiction
Ready Player One: A Novel,Ernest Cline,4.6,2017,Fiction
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,2013,Fiction
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,2014,Fiction
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,2018,Non Fiction
Sarah's Key,Tatiana de Rosnay,4.6,2010,Fiction
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,2018,Childrens
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,2015,Non Fiction
Sh*t My Dad Says,Justin Halpern,4.7,2010,Non Fiction
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,2018,Non Fiction
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2013,Non Fiction
Sookie Stackhouse,Charlaine Harris,4.7,2009,Fiction
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,2013,Non Fiction
Steve Jobs,Walter Isaacson,4.6,2011,Non Fiction
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,2019,Fiction
StrengthsFinder 2.0,Gallup,4.0,2009,Non Fiction
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,2009,Non Fiction
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,2010,Non Fiction
Sycamore Row (Jake Brigance),John Grisham,4.5,2013,Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,2010,Non Fiction
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2011,Non Fiction
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,2011,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,2010,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,2015,Non Fiction
The 5000 Year Leap,W. Cleon Skousen,4.8,2009,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,2009,Non Fiction
The Alchemist,Paulo Coelho,4.7,2014,Fiction
The Amateur,Edward Klein,4.6,2012,Non Fiction
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,2010,Fiction
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,2010,Non Fiction
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,2014,Fiction
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,2012,Non Fiction
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,2019,Non Fiction
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,2009,Non Fiction
The Book Thief,Markus Zusak,4.6,2013,Fiction
The Book with No Pictures,B. J. Novak,4.8,2014,Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,2014,Non Fiction
The Casual Vacancy,J.K. Rowling,3.3,2012,Fiction
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,2011,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,2018,Non Fiction
The Confession: A Novel,John Grisham,4.3,2010,Fiction
The Constitution of the United States,Delegates of the Constitutional,4.8,2016,Non Fiction
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,2010,Non Fiction
The Day the Crayons Quit,Drew Daywalt,4.8,2013,Fiction
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2011,Non Fiction
The Elegance of the Hedgehog,Muriel Barbery,4.0,2009,Fiction
The Fault in Our Stars,John Green,4.7,2012,Fiction
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2009,Non Fiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,2009,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,2013,Non Fiction
The Getaway,Jeff Kinney,4.8,2017,Fiction
The Girl on the Train,Paula Hawkins,4.1,2015,Fiction
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,2010,Fiction
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,2010,Fiction
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,2009,Fiction
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,2009,Fiction
The Going-To-Bed Book,Sandra Boynton,4.8,2016,Childrens
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,2013,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,2012,Fiction
The Guardians: A Novel,John Grisham,4.5,2019,Fiction
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,2009,Fiction
The Handmaid's Tale,Margaret Atwood,4.3,2017,Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,2012,Fiction
The Hate U Give,Angie Thomas,4.8,2018,Fiction
The Help,Kathryn Stockett,4.8,2009,Fiction
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,2013,Fiction
The Hunger Games,Suzanne Collins,4.7,2010,Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,2011,Fiction
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,2011,Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,2010,Non Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,2017,Non Fiction
The Last Lecture,Randy Pausch,4.7,2009,Non Fiction
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,2009,Fiction
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,2013,Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,2011,Childrens
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,2015,Non Fiction
The Litigators,John Grisham,4.4,2011,Fiction
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,2010,Fiction
The Lost Symbol,Dan Brown,4.2,2009,Fiction
The Love Dare,Stephen Kendrick,4.8,2009,Non Fiction
The Magnolia Story,Chip Gaines,4.9,2016,Non Fiction
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,2012,Fiction
The Martian,Andy Weir,4.7,2015,Fiction
The Maze Runner (Book 1),James Dashner,4.5,2014,Fiction
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,2018,Childrens
The Mueller Report,The Washington Post,4.6,2019,Non Fiction
The Nightingale: A Novel,Kristin Hannah,4.8,2015,Fiction
The Official SAT Study Guide,The College Board,4.4,2010,Non Fiction
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,2016,Non Fiction
The Paris Wife: A Novel,Paula McLain,4.3,2011,Fiction
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2013,Non Fiction
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,2015,Non Fiction
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2012,Non Fiction
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,2018,Non Fiction
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,2018,Non Fiction
The Pout-Pout Fish,Deborah Diesen,4.8,2017,Fiction
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,2012,Non Fiction
The President Is Missing: A Novel,James Patterson,4.3,2018,Fiction
The Racketeer,John Grisham,4.3,2012,Fiction
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2010,Fiction
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,2010,Non Fiction
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2012,Fiction
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,2009,Fiction
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2010,Fiction
The Silent Patient,Alex Michaelides,4.5,2019,Fiction
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,2011,Fiction
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,2017,Non Fiction
