,Age,City,Event,Games,Height,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
2695,27.0,Rio de Janeiro,Athletics Women's 100 metres Hurdles,2016 Summer,170.0,Silver,USA,Nia Sifaatihii Ali,Summer,F,Athletics,United States,4727,65.0,2016
2769,18.0,Rio de Janeiro,Taekwondo Women's Featherweight,2016 Summer,185.0,Bronze,IRI,Kimia Alizadeh Zenoorin,Summer,F,Taekwondo,Iran,4847,57.0,2016
3077,31.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,172.0,Bronze,NOR,Ida Alstad,Summer,F,Handball,Norway,5458,60.0,2016
3174,25.0,Rio de Janeiro,Boxing Men's Lightweight,2016 Summer,173.0,Bronze,CUB,Lzaro Jorge lvarez Estrada,Summer,M,Boxing,Cuba,5612,60.0,2016
3537,27.0,Rio de Janeiro,"Wrestling Women's Lightweight, Freestyle",2016 Summer,160.0,Bronze,TUN,Marwa Al-Amri,Summer,F,Wrestling,Tunisia,6304,58.0,2016
3691,23.0,Rio de Janeiro,Rowing Women's Coxless Pairs,2016 Summer,183.0,Bronze,DEN,Anne Dsane Andersen,Summer,F,Rowing,Denmark,6598,86.0,2016
3845,29.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,202.0,Bronze,USA,"Matthew John ""Matt"" Anderson",Summer,M,Volleyball,United States,6853,100.0,2016
4505,32.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,203.0,Gold,USA,Carmelo Kyan Anthony,Summer,M,Basketball,United States,8167,109.0,2016
4575,28.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,198.0,Silver,ITA,Oleg Antonov,Summer,M,Volleyball,Italy,8300,88.0,2016
4782,28.0,Rio de Janeiro,Athletics Men's 50 kilometres Walk,2016 Summer,180.0,Bronze,JPN,Hirooki Arai,Summer,M,Athletics,Japan,8703,62.0,2016
5023,19.0,Rio de Janeiro,Boxing Men's Light-Flyweight,2016 Summer,152.0,Bronze,CUB,Joahnys Oscar Argilagos Prez,Summer,M,Boxing,Cuba,9138,49.0,2016
5093,37.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,186.0,Gold,BRA,William Peixoto Arjona,Summer,M,Volleyball,Brazil,9260,78.0,2016
5245,22.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,183.0,Bronze,NOR,Emilie Hegh Arntzen,Summer,F,Handball,Norway,9570,78.0,2016
5414,27.0,Rio de Janeiro,"Wrestling Men's Welterweight, Greco-Roman",2016 Summer,166.0,Silver,ARM,Migran Arutyunyan,Summer,M,Wrestling,Armenia,9895,67.0,2016
5542,20.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,164.0,Bronze,GBR,"Geraldina Rachel ""Dina"" Asher-Smith",Summer,F,Athletics,Great Britain,10134,55.0,2016
5561,26.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,183.0,Gold,JAM,Nickel Ashmeade,Summer,M,Athletics,Jamaica,10176,77.0,2016
5577,23.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,173.0,Silver,AUS,Jessica Ashwood,Summer,F,Swimming,Australia,10200,64.0,2016
5971,32.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,183.0,Gold,USA,Seimone Delicia Augustus,Summer,F,Basketball,United States,10930,74.0,2016
6204,24.0,Rio de Janeiro,"Athletics Women's 10,000 metres",2016 Summer,166.0,Gold,ETH,Almaz Ayana Eba,Summer,F,Athletics,Ethiopia,11346,47.0,2016
6241,31.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,180.0,Silver,FRA,Camille Anas Ayglon-Saurina,Summer,F,Handball,France,11429,66.0,2016
6346,27.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,178.0,Gold,FRA,Jrmie Azou,Summer,M,Rowing,France,11648,71.0,2016
6912,24.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,193.0,Gold,JAM,Kemar Bailey-Cole,Summer,M,Athletics,Jamaica,12705,84.0,2016
7020,19.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,173.0,Gold,USA,Kathleen Baker,Summer,F,Swimming,United States,12907,68.0,2016
7133,21.0,Rio de Janeiro,Swimming Men's 200 metres Breaststroke,2016 Summer,195.0,Gold,KAZ,Dmitry Igorevich Balandin,Summer,M,Swimming,Kazakhstan,13124,85.0,2016
7590,27.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,178.0,Bronze,USA,Kayla Banwarth,Summer,F,Volleyball,United States,14061,70.0,2016
7612,26.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,185.0,Gold,GER,Carina Br,Summer,F,Rowing,Germany,14103,75.0,2016
7956,24.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,203.0,Gold,USA,Harrison Bryce Jordan Barnes,Summer,M,Basketball,United States,14744,102.0,2016
8025,28.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,183.0,Bronze,FRA,Thomas Gabriel Jrmie Baroukh,Summer,M,Rowing,France,14871,70.0,2016
8051,27.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,171.0,Silver,AUS,Bronte Amelia Arnold Barratt,Summer,F,Swimming,Australia,14919,59.0,2016
8128,29.0,Rio de Janeiro,"Athletics Women's 1,500 metres",2016 Summer,166.0,Bronze,USA,"Jennifer Mae ""Jenny"" Barringer-Simpson",Summer,F,Athletics,United States,15062,53.0,2016
8204,25.0,Rio de Janeiro,Athletics Men's High Jump,2016 Summer,190.0,Silver,QAT,Mutaz Essa Barshim,Summer,M,Athletics,Qatar,15197,65.0,2016
8214,27.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,188.0,Silver,DEN,Jacob Jepsen Barse,Summer,M,Rowing,Denmark,15215,73.0,2016
8417,29.0,Rio de Janeiro,Athletics Men's 110 metres Hurdles,2016 Summer,181.0,Bronze,FRA,Dimitri David Bascou,Summer,M,Athletics,France,15640,80.0,2016
8672,27.0,Rio de Janeiro,Boxing Men's Light-Heavyweight,2016 Summer,185.0,Bronze,FRA,Mathieu Albert Daniel Bauderlique,Summer,M,Boxing,France,16103,81.0,2016
9432,25.0,Rio de Janeiro,Rowing Women's Coxless Pairs,2016 Summer,183.0,Silver,NZL,"Genevieve ""Gen"" Behrent",Summer,F,Rowing,New Zealand,17726,73.0,2016
9444,25.0,Rio de Janeiro,Taekwondo Men's Welterweight,2016 Summer,197.0,Bronze,AZE,Milad Beigi Hareqani,Summer,M,Taekwondo,Azerbaijan,17755,80.0,2016
9464,37.0,Rio de Janeiro,Athletics Women's High Jump,2016 Summer,191.0,Gold,ESP,Ruth Beita Vila,Summer,F,Athletics,Spain,17793,72.0,2016
9577,25.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Greco-Roman",2016 Summer,178.0,Silver,UKR,Zhan Vensanovych Beleniuk,Summer,M,Wrestling,Ukraine,18042,85.0,2016
9750,25.0,Rio de Janeiro,Swimming Women's 400 metres Individual Medley,2016 Summer,170.0,Bronze,ESP,Mireia Belmonte Garca,Summer,F,Swimming,Spain,18416,59.0,2016
9764,26.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,187.0,Silver,AUS,Alexander Belonogoff,Summer,M,Rowing,Australia,18441,90.0,2016
9823,23.0,Rio de Janeiro,Boxing Women's Lightweight,2016 Summer,173.0,Bronze,RUS,Anastasiya Yevgenyevna Belyakova,Summer,F,Boxing,Russia,18560,60.0,2016
9829,24.0,Rio de Janeiro,Gymnastics Men's Parallel Bars,2016 Summer,165.0,Bronze,RUS,David Sagitovich Belyavsky,Summer,M,Gymnastics,Russia,18579,55.0,2016
10173,27.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,179.0,Silver,GBR,Karen Bennett,Summer,F,Rowing,Great Britain,19213,75.0,2016
10181,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,207.0,Gold,GBR,Paul Bennett,Summer,M,Rowing,Great Britain,19227,100.0,2016
10257,20.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,196.0,Gold,USA,"Joseph ""Gunnar"" Bentz",Summer,M,Swimming,United States,19364,84.0,2016
10341,23.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,186.0,Bronze,ROU,Mdlina Bere,Summer,F,Rowing,Romania,19587,75.0,2016
10425,33.0,Rio de Janeiro,"Wrestling Men's Featherweight, Greco-Roman",2016 Summer,167.0,Bronze,NOR,Stig Andr Berge,Summer,M,Wrestling,Norway,19783,60.0,2016
11094,25.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,170.0,Silver,NED,Nicole Beukers,Summer,F,Rowing,Netherlands,21007,66.0,2016
11495,19.0,Rio de Janeiro,Gymnastics Women's Balance Beam,2016 Summer,143.0,Bronze,USA,Simone Arianne Biles,Summer,F,Gymnastics,United States,21763,47.0,2016
11653,35.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,202.0,Silver,ITA,Emanuele Birarelli,Summer,M,Volleyball,Italy,22122,95.0,2016
11656,26.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,210.0,Silver,SRB,Stefan Birevi,Summer,M,Basketball,Serbia,22125,104.0,2016
11671,35.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,175.0,Gold,USA,"Suzanne Brigit ""Sue"" Bird",Summer,F,Basketball,United States,22157,66.0,2016
11673,24.0,Rio de Janeiro,Athletics Men's 20 kilometres Walk,2016 Summer,187.0,Bronze,AUS,Dane Alex Bird-Smith,Summer,M,Athletics,Australia,22160,72.0,2016
12086,26.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,180.0,Gold,JAM,Yohan Blake,Summer,M,Athletics,Jamaica,22996,80.0,2016
12290,29.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,182.0,Gold,RUS,Irina Valeryevna Bliznova,Summer,F,Handball,Russia,23362,68.0,2016
12399,22.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,170.0,Bronze,DEN,Pernille Blume,Summer,F,Swimming,Denmark,23612,58.0,2016
12496,28.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,180.0,Gold,RUS,Vladlena Eduardovna Bobrovnikova,Summer,F,Handball,Russia,23786,72.0,2016
12738,23.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,197.0,Silver,SRB,Bogdan Bogdanovi,Summer,M,Basketball,Serbia,24291,99.0,2016
12740,18.0,Rio de Janeiro,Taekwondo Women's Flyweight,2016 Summer,172.0,Silver,SRB,Tijana Bogdanovi,Summer,F,Taekwondo,Serbia,24293,52.0,2016
12757,24.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,186.0,Bronze,ROU,Andreea Boghian,Summer,F,Rowing,Romania,24330,78.0,2016
12981,22.0,Rio de Janeiro,"Wrestling Men's Welterweight, Greco-Roman",2016 Summer,170.0,Bronze,GEO,Shmagi Bolkvadze,Summer,M,Wrestling,Georgia,24777,66.0,2016
13029,29.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,196.0,Gold,JAM,Usain St. Leo Bolt,Summer,M,Athletics,Jamaica,24885,95.0,2016
13120,30.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,189.0,Gold,NZL,Hamish Byron Bond,Summer,M,Rowing,New Zealand,25068,89.0,2016
13131,26.0,Rio de Janeiro,Athletics Men's High Jump,2016 Summer,198.0,Bronze,UKR,Bohdan Viktorovych Bondarenko,Summer,M,Athletics,Ukraine,25100,77.0,2016
13359,25.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,190.0,Silver,AUS,"Joshua ""Josh"" Booth",Summer,M,Rowing,Australia,25568,93.0,2016
13395,26.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,193.0,Bronze,NOR,Kjetil Borch,Summer,M,Rowing,Norway,25638,84.0,2016
13466,27.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,199.0,Gold,BRA,Maurcio Borges Almeida Silva,Summer,M,Volleyball,Brazil,25807,99.0,2016
13623,24.0,Rio de Janeiro,"Wrestling Men's Featherweight, Greco-Roman",2016 Summer,160.0,Gold,CUB,Ismael Borrero Molina,Summer,M,Wrestling,Cuba,26116,59.0,2016
13753,19.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,193.0,Silver,SRB,Tijana Bokovi,Summer,F,Volleyball,Serbia,26421,82.0,2016
14202,31.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,184.0,Silver,NED,Carline Bouw,Summer,F,Rowing,Netherlands,27347,72.0,2016
14266,25.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,175.0,Gold,USA,"Frentorish ""Tori"" Bowie",Summer,F,Athletics,United States,27485,58.0,2016
14580,28.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,196.0,Silver,SRB,Jovana Brakoevi-Kancian,Summer,F,Volleyball,Serbia,28128,82.0,2016
14810,22.0,Rio de Janeiro,Athletics Men's Pole Vault,2016 Summer,183.0,Gold,BRA,Thiago Braz da Silva,Summer,M,Athletics,Brazil,28565,75.0,2016
15181,25.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,187.0,Silver,RSA,Lawrence Brittain,Summer,M,Rowing,South Africa,29397,94.0,2016
15460,24.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,198.0,Bronze,CAN,Aaron Brown,Summer,M,Athletics,Canada,29962,79.0,2016
15488,37.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,178.0,Bronze,BAH,"Christopher Deon ""Chris"" Brown",Summer,M,Athletics,Bahamas,30008,75.0,2016
15743,28.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,175.0,Bronze,NOR,Kristoffer Brun,Summer,M,Rowing,Norway,30541,70.0,2016
15788,25.0,Rio de Janeiro,Swimming Women's 10 kilometres Open Water,2016 Summer,170.0,Silver,ITA,Rachele Bruni,Summer,F,Swimming,Italy,30644,59.0,2016
15791,30.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,190.0,Gold,BRA,"Bruno ""Bruninho"" Mossa de Rezende",Summer,M,Volleyball,Brazil,30654,76.0,2016
15967,23.0,Rio de Janeiro,Boxing Men's Light-Heavyweight,2016 Summer,185.0,Bronze,GBR,Joshua Buatsi,Summer,M,Boxing,Great Britain,31008,81.0,2016
16302,29.0,Rio de Janeiro,"Wrestling Women's Heavyweight, Freestyle",2016 Summer,174.0,Bronze,RUS,Yekaterina Borisovna Bukina,Summer,F,Wrestling,Russia,31741,75.0,2016
16383,24.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,172.0,Silver,FRA,Chlo Bulleux,Summer,F,Handball,France,31884,65.0,2016
16792,22.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,187.0,Silver,SRB,Bianka Bua,Summer,F,Volleyball,Serbia,32655,74.0,2016
16900,32.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,206.0,Silver,ITA,Simone Buti,Summer,M,Volleyball,Italy,32866,100.0,2016
16923,26.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,201.0,Gold,USA,Jimmy Butler III,Summer,M,Basketball,United States,32900,99.0,2016
16977,30.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,175.0,Bronze,SRB,Dajana Butulija,Summer,F,Basketball,Serbia,32993,65.0,2016
17125,26.0,Rio de Janeiro,Athletics Women's Discus Throw,2016 Summer,175.0,Bronze,CUB,Denia Caballero Ponce,Summer,F,Athletics,Cuba,33246,70.0,2016
17300,25.0,Rio de Janeiro,Athletics Men's 20 kilometres Walk,2016 Summer,175.0,Silver,CHN,Cai Zelin,Summer,M,Athletics,China,33540,55.0,2016
17402,34.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,191.0,Bronze,ESP,Jos Manuel Caldern Borrallo,Summer,M,Basketball,Spain,33775,90.0,2016
17415,25.0,Rio de Janeiro,Swimming Women's 200 metres Backstroke,2016 Summer,173.0,Bronze,CAN,Hilary Caldwell,Summer,F,Swimming,Canada,33799,61.0,2016
17525,25.0,Rio de Janeiro,Taekwondo Women's Featherweight,2016 Summer,176.0,Silver,ESP,Eva Calvo Gmez,Summer,F,Taekwondo,Spain,34027,57.0,2016
17602,23.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,179.0,Silver,JPN,"Asuka Antonio ""Aska"" Cambridge",Summer,M,Athletics,Japan,34172,74.0,2016
17684,22.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Freestyle Relay,2016 Summer,179.0,Gold,AUS,Bronte Campbell,Summer,F,Swimming,Australia,34313,58.0,2016
17687,24.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,186.0,Silver,AUS,Cate Natalie Campbell,Summer,F,Swimming,Australia,34326,67.0,2016
17755,34.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,168.0,Silver,JAM,Veronica Angella Campbell-Brown,Summer,F,Athletics,Jamaica,34456,58.0,2016
18278,25.0,Rio de Janeiro,Swimming Women's 800 metres Freestyle,2016 Summer,175.0,Silver,GBR,"Jazmin Roxy ""Jazz"" Carlin",Summer,F,Swimming,Great Britain,35547,57.0,2016
18389,25.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,181.0,Silver,GBR,Olivia Frances Carnegie-Brown,Summer,F,Rowing,Great Britain,35783,73.0,2016
18653,30.0,Rio de Janeiro,Athletics Women's Shot Put,2016 Summer,176.0,Gold,USA,Michelle Denee Carter,Summer,F,Athletics,United States,36306,136.0,2016
18870,30.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,188.0,Bronze,ITA,Matteo Castaldo,Summer,M,Rowing,Italy,36723,86.0,2016
18976,28.0,Rio de Janeiro,Athletics Women's 100 metres Hurdles,2016 Summer,170.0,Bronze,USA,Kristi Castlin,Summer,F,Athletics,United States,36906,60.0,2016
19044,37.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,185.0,Gold,USA,Tamika Devonne Catchings,Summer,F,Basketball,United States,37038,77.0,2016
19205,27.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,178.0,Bronze,SRB,Saa ao,Summer,F,Basketball,Serbia,37364,72.0,2016
19335,26.0,Rio de Janeiro,"Athletics Men's 1,500 metres",2016 Summer,176.0,Gold,USA,"Matthew Gerald ""Matt"" Centrowitz, Jr.",Summer,M,Athletics,United States,37612,65.0,2016
19586,23.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Greco-Roman",2016 Summer,174.0,Gold,RUS,Davit Gochayevich Chakvetadze,Summer,M,Wrestling,Russia,38115,85.0,2016
19603,18.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,193.0,Bronze,AUS,Kyle Chalmers,Summer,M,Swimming,Australia,38142,90.0,2016
19643,24.0,Rio de Janeiro,"Wrestling Men's Welterweight, Freestyle",2016 Summer,172.0,Bronze,ITA,Frank Chamizo Marquez,Summer,M,Wrestling,Italy,38218,65.0,2016
19901,27.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,193.0,Gold,USA,Tina Alexandria Charles,Summer,F,Basketball,United States,38680,88.0,2016
20133,25.0,Rio de Janeiro,"Athletics Men's 5,000 metres",2016 Summer,175.0,Silver,USA,Paul Kipkemboi Chelimo,Summer,M,Athletics,United States,39162,57.0,2016
20525,32.0,Rio de Janeiro,"Athletics Women's 10,000 metres",2016 Summer,153.0,Silver,KEN,Vivian Jepkemoi Cheruiyot,Summer,F,Athletics,Kenya,39912,40.0,2016
20742,29.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,170.0,Bronze,GBR,Eilidh Child-Doyle,Summer,F,Athletics,Great Britain,40324,60.0,2016
21270,23.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,198.0,Bronze,USA,Micah Makanamaikalani Christenson,Summer,M,Volleyball,United States,41245,86.0,2016
21299,30.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,197.0,Gold,DEN,Mads Christiansen,Summer,M,Handball,Denmark,41295,93.0,2016
21439,19.0,Rio de Janeiro,Swimming Men's 200 metres Breaststroke,2016 Summer,188.0,Bronze,RUS,Anton Mikhaylovich Chupkov,Summer,M,Swimming,Russia,41558,71.0,2016
21492,24.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,182.0,Bronze,POL,Monika Ciaciuch,Summer,F,Rowing,Poland,41682,74.0,2016
21695,22.0,Rio de Janeiro,Taekwondo Men's Welterweight,2016 Summer,186.0,Gold,CIV,Cheick Sallah Ciss Junior,Summer,M,Taekwondo,Cote d'Ivoire,42069,80.0,2016
21700,25.0,Rio de Janeiro,Boxing Men's Welterweight,2016 Summer,179.0,Bronze,FRA,Souleymane Diop Cissokho,Summer,M,Boxing,France,42074,69.0,2016
21935,27.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,206.0,Bronze,ESP,Vctor Claver Arocas,Summer,M,Basketball,Spain,42529,107.0,2016
21954,25.0,Rio de Janeiro,Athletics Men's Triple Jump,2016 Summer,181.0,Silver,USA,"William Bundu ""Will"" Claye",Summer,M,Athletics,United States,42557,72.0,2016
21990,30.0,Rio de Janeiro,Athletics Men's 400 metres Hurdles,2016 Summer,188.0,Gold,USA,Kerron Stephon Clement,Summer,M,Athletics,United States,42626,86.0,2016
22002,25.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,180.0,Gold,USA,Kyle Clemons,Summer,M,Athletics,United States,42642,74.0,2016
22143,25.0,Rio de Janeiro,"Athletics Women's 3,000 metres Steeplechase",2016 Summer,173.0,Bronze,USA,Emma Jane Coburn,Summer,F,Athletics,United States,42936,54.0,2016
22249,29.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,180.0,Bronze,ROU,Roxana Gabriela Cogianu,Summer,F,Rowing,Romania,43149,72.0,2016
22287,27.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,186.0,Bronze,ROU,Adelina Maria Cojocariu-Bogus,Summer,F,Rowing,Romania,43242,75.0,2016
22299,31.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,180.0,Silver,ITA,Massimo Colaci,Summer,M,Volleyball,Italy,43263,75.0,2016
22307,24.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,187.0,Bronze,FRA,Thibault Colard,Summer,M,Rowing,France,43276,70.0,2016
22623,27.0,Rio de Janeiro,Boxing Men's Lightweight,2016 Summer,171.0,Gold,BRA,Robson Donato Conceio,Summer,M,Boxing,Brazil,43889,57.0,2016
22662,21.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,193.0,Gold,USA,"John ""Jack"" Conger",Summer,M,Swimming,United States,43984,80.0,2016
22865,17.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,170.0,Silver,AUS,Tamsin Cook,Summer,F,Swimming,Australia,44336,61.0,2016
22978,29.0,Rio de Janeiro,Athletics Men's 400 metres Hurdles,2016 Summer,191.0,Bronze,TUR,Yasmani Copello Escobar,Summer,M,Athletics,Turkey,44576,85.0,2016
23040,22.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,196.0,Gold,USA,Kevin Cordes,Summer,M,Swimming,United States,44713,88.0,2016
23497,25.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,210.0,Gold,USA,DeMarcus Amir Cousins,Summer,M,Basketball,United States,45521,122.0,2016
