,Age,City,Event,Games,Height,ID,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
3187,27.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,194.0,30664,Silver,AUS,Joshua Dunkley-Smith,Summer,M,Rowing,Australia,59895,98.0,2016
3200,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,196.0,30808,Gold,GBR,Scott David Durant,Summer,M,Rowing,Great Britain,60169,96.0,2016
3383,37.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,198.0,32577,Bronze,EST,Tnu Endrekson,Summer,M,Rowing,Estonia,63602,104.0,2016
3750,36.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,191.0,36350,Silver,AUS,Karsten Forsterling,Summer,M,Rowing,Australia,71367,88.0,2016
4137,28.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,190.0,40549,Silver,AUS,Cameron Girdlestone,Summer,M,Rowing,Australia,79876,92.0,2016
4293,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,42000,Gold,GBR,"Matthew Anthony W. ""Matt"" Gotrel",Summer,M,Rowing,Great Britain,82674,95.0,2016
4363,32.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,198.0,42734,Gold,GBR,"Alexander John ""Alex"" Gregory",Summer,M,Rowing,Great Britain,84101,97.0,2016
4394,30.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,190.0,43037,Silver,LTU,Mindaugas Grikonis,Summer,M,Rowing,Lithuania,84812,92.0,2016
4417,27.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,193.0,43300,Gold,GER,Hans Gruhne,Summer,M,Rowing,Germany,85408,92.0,2016
4521,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,187.0,44384,Gold,SUI,Mario-Elio Gyr,Summer,M,Rowing,Switzerland,87541,76.0,2016
4810,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,47603,Bronze,NED,Kaj Hendriks,Summer,M,Rowing,Netherlands,94037,95.0,2016
4901,23.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,194.0,48553,Silver,AUS,"Alexander ""Alex"" Hill",Summer,M,Rowing,Australia,95919,92.0,2016
4905,37.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,172.0,48586,Gold,GBR,Phelan Peter Hill,Summer,M,Rowing,Great Britain,95976,55.0,2016
5023,22.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,182.0,50232,Gold,FRA,Pierre Houin,Summer,M,Rowing,France,99267,74.0,2016
5363,23.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,194.0,53423,Silver,GER,Malte Jakschik,Summer,M,Rowing,Germany,105630,93.0,2016
5381,34.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,184.0,53547,Bronze,EST,Andrei Jms,Summer,M,Rowing,Estonia,105842,90.0,2016
5482,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,193.0,55069,Silver,GER,Eric Johannesen,Summer,M,Rowing,Germany,108903,100.0,2016
5557,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,183.0,56133,Silver,DEN,Morten Jrgensen,Summer,M,Rowing,Denmark,110948,73.0,2016
5800,29.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,196.0,58380,Silver,RSA,Shaun Keeling,Summer,M,Rowing,South Africa,115218,94.0,2016
6412,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,196.0,64676,Silver,GER,Andreas Kuffner,Summer,M,Rowing,Germany,128438,94.0,2016
6582,33.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,194.0,66517,Gold,GBR,"Matthew Keir ""Matt"" Langridge",Summer,M,Rowing,Great Britain,132169,93.0,2016
6610,28.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,182.0,66805,Silver,DEN,Jacob Sgaard Larsen,Summer,M,Rowing,Denmark,132723,73.0,2016
7028,28.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,191.0,70979,Silver,AUS,William Lockwood,Summer,M,Rowing,Australia,141461,88.0,2016
7031,21.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,196.0,70992,Bronze,ITA,Matteo Lodo,Summer,M,Rowing,Italy,141484,90.0,2016
7100,24.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,190.0,71687,Gold,GBR,Constantine Michael Louloudis,Summer,M,Rowing,Great Britain,142874,92.0,2016
7140,31.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,199.0,72059,Bronze,NED,Robert Lcken,Summer,M,Rowing,Netherlands,143561,95.0,2016
7495,28.0,Rio de Janeiro,Rowing Men's Single Sculls,2016 Summer,189.0,75551,Silver,CRO,Damir Martin,Summer,M,Rowing,Croatia,150566,97.0,2016
7731,29.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,193.0,77955,Silver,AUS,James McRae,Summer,M,Rowing,Australia,155284,93.0,2016
7860,32.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,79256,Bronze,NED,Boaz Cornelius Meylink,Summer,M,Rowing,Netherlands,157885,93.0,2016
8157,30.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,189.0,81588,Bronze,ITA,Domenico Montrone,Summer,M,Rowing,Italy,162497,97.0,2016
8300,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,83359,Silver,GER,Maximilian Munski,Summer,M,Rowing,Germany,165984,96.0,2016
8339,34.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,195.0,83571,Gold,NZL,Eric Gordon Murray,Summer,M,Rowing,New Zealand,166398,98.0,2016
8475,26.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,195.0,84598,Gold,GBR,George Christopher Nash,Summer,M,Rowing,Great Britain,168352,96.0,2016
8628,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,180.0,86104,Gold,SUI,Simon Niepmann,Summer,M,Rowing,Switzerland,171349,71.0,2016
8771,25.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,191.0,87939,Silver,GER,Hannes Ocik,Summer,M,Rowing,Germany,175033,93.0,2016
8775,23.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,172.0,87962,Silver,IRL,Gary O'Donovan,Summer,M,Rowing,Ireland,175069,70.0,2016
8776,22.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,177.0,87963,Silver,IRL,Paul O'Donovan,Summer,M,Rowing,Ireland,175070,70.0,2016
9883,30.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,187.0,98419,Bronze,FRA,Guillaume Louis  Benoit Raineau,Summer,M,Rowing,France,196006,71.0,2016
9889,33.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,190.0,98448,Bronze,EST,Allar Raja,Summer,M,Rowing,Estonia,196086,95.0,2016
9946,30.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,198.0,98886,Gold,GBR,"Thomas Matthew ""Tom"" Ransley",Summer,M,Rowing,Great Britain,196970,101.0,2016
9995,35.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,99523,Gold,GBR,"Peter ""Pete"" Reed",Summer,M,Rowing,Great Britain,198211,100.0,2016
10010,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,99780,Silver,GER,Maximilian Reinelt,Summer,M,Rowing,Germany,198703,98.0,2016
10140,27.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,202.0,101070,Silver,LTU,Saulius Ritter,Summer,M,Rowing,Lithuania,201228,110.0,2016
10240,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,101889,Bronze,NED,Boudewijn Rell,Summer,M,Rowing,Netherlands,202833,100.0,2016
10637,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,198.0,105974,Gold,GBR,"William Spencer ""Will"" Satch",Summer,M,Rowing,Great Britain,211029,100.0,2016
10646,33.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,169.0,106100,Silver,GER,Martin Sauer,Summer,M,Rowing,Germany,211287,55.0,2016
10680,28.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,202.0,106423,Gold,GBR,"Mohamed Karim ""Moe"" Sbihi",Summer,M,Rowing,Great Britain,211987,110.0,2016
10728,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,191.0,107131,Silver,GER,Richard Schmidt,Summer,M,Rowing,Germany,213343,87.0,2016
10749,25.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,195.0,107434,Gold,GER,Lauritz Schoof,Summer,M,Rowing,Germany,213949,98.0,2016
10766,28.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,190.0,107703,Gold,GER,Karl Schulze,Summer,M,Rowing,Germany,214534,100.0,2016
10767,25.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,186.0,107750,Gold,SUI,Simon Schrch,Summer,M,Rowing,Switzerland,214624,75.0,2016
11054,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,110265,Bronze,NED,Olivier Floris Johannes Siegelaar,Summer,M,Rowing,Netherlands,219503,100.0,2016
11152,26.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,188.0,111300,Gold,CRO,Martin Sinkovi,Summer,M,Rowing,Croatia,221462,95.0,2016
11153,28.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,187.0,111301,Gold,CRO,Valent Sinkovi,Summer,M,Rowing,Croatia,221464,93.0,2016
11302,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,184.0,112904,Bronze,FRA,Franck Robert Bernard Solforosi,Summer,M,Rowing,France,224775,70.0,2016
11531,27.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,181.0,115643,Bronze,NOR,Are Weierholt Strandli,Summer,M,Rowing,Norway,230399,69.0,2016
11679,33.0,Rio de Janeiro,Rowing Men's Single Sculls,2016 Summer,199.0,117258,Bronze,CZE,Ondej Synek,Summer,M,Rowing,Czech Republic,233799,105.0,2016
11734,29.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,194.0,117835,Bronze,EST,Kaspar Taimsoo,Summer,M,Rowing,Estonia,234967,95.0,2016
12174,26.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,183.0,121635,Gold,SUI,Lucas Tramr,Summer,M,Rowing,Switzerland,242890,75.0,2016
12192,37.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,192.0,121915,Gold,GBR,"Andrew ""Andy"" Triggs Hodge",Summer,M,Rowing,Great Britain,243432,97.0,2016
12254,40.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,193.0,122530,Bronze,NOR,Olaf Karl Tufte,Summer,M,Rowing,Norway,244737,94.0,2016
12346,26.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,199.0,123195,Bronze,NED,Dirk Uittenbogaard,Summer,M,Rowing,Netherlands,246036,93.0,2016
12679,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,126144,Bronze,NED,"Pieter Gilles ""Mechiel"" Versluis",Summer,M,Rowing,Netherlands,251892,95.0,2016
12701,23.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,195.0,126330,Bronze,ITA,Giuseppe Vicino,Summer,M,Rowing,Italy,252281,95.0,2016
13011,31.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,199.0,129601,Gold,GER,Phillipp Wende,Summer,M,Rowing,Germany,258859,90.0,2016
13071,31.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,173.0,130259,Bronze,NED,Peter Noel Jan Wiersum,Summer,M,Rowing,Netherlands,260260,55.0,2016
13077,22.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,201.0,130298,Bronze,NED,Tone Wieten,Summer,M,Rowing,Netherlands,260338,102.0,2016
13158,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,182.0,131072,Silver,DEN,Kasper Winther Jrgensen,Summer,M,Rowing,Denmark,261973,73.0,2016
