ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1086,Speedy,1.25,male,Unknown Mix,2/14/19,2/14/19,11/21/19,gray and black,medium,small,yes,,yes,yes,yes,yes,,both flat and garden
4478,Charlotte,3.08,female,Unknown Mix,10/31/19,10/31/19,11/17/19,black and white,short,small,,,yes,,,,,both flat and garden
529,Chili,0.17,female,Staffordshire Terrier,10/1/19,10/1/19,11/24/19,golden,short,medium,yes,,yes,yes,yes,yes,,
1786,Mártélyi Bence,0.75,male,Bull Terrier Mix,11/17/19,11/25/19,11/24/19,striped,short,medium,,,yes,,yes,yes,,flat
1783,Dabasi Kócos,7,female,Fox Terrier Mix,11/18/19,11/18/19,11/19/19,black and white,wirehaired,small,no,yes,yes,no,yes,yes,no,both flat and garden
23752,,0.25,male,Unknown Mix,11/24/19,12/9/19,11/25/19,striped,short,medium,,,,,,,,
23736,Csöpi,9.33,female,German Shepherd Dog Mix,11/14/19,11/29/19,11/14/19,saddle back,medium,large,no,,,,,,,
23730,Suzi,13.08,female,German Shepherd Dog Mix,11/13/19,11/28/19,11/14/19,sable,medium,large,yes,,,,,,,
23731,,5,male,Unknown Mix,11/14/19,11/29/19,11/14/19,black and white,short,large,yes,,,,,,,
23735,,1,male,Unknown Mix,10/26/19,11/10/19,11/14/19,yellow-brown,short,small,no,,,,,,,
1775,Miskolci Kuba,1.25,male,"Beagle, Hound Mix",11/12/19,11/12/19,11/12/19,tricolor,short,medium,no,,yes,yes,no,yes,no,both flat and garden
3521,Panna,7.58,female,Unknown Mix,4/17/13,4/17/13,11/13/19,black,wirehaired,medium,yes,,,,,,,garden
1037,Lõrinci Balu,10.75,male,Greyhound Mix,11/6/19,11/6/19,11/14/19,spotty,short,medium,yes,yes,yes,,,,,flat
23733,,3,male,Unknown Mix,10/26/19,11/10/19,11/14/19,yellow-brown,short,small,no,,,,,,,
3519,Alfi,8.33,male,Unknown Mix,8/25/12,8/25/12,11/13/19,black,wirehaired,large,yes,,,,,,,garden
23739,Taxi,8,female,Unknown Mix,11/16/19,12/1/19,11/16/19,yellow-brown,short,large,no,,,,,,,
23738,Bambi,5.5,female,Unknown Mix,11/16/19,12/1/19,11/16/19,striped,short,large,no,,,,,,,
1038,Pécsi Kajla,1,male,Greyhound Mix,9/9/19,11/10/19,11/14/19,black,short,medium,yes,,,,,,,
3518,Benji,9.67,male,Terrier Mix,4/17/13,4/17/13,11/13/19,yellow-brown,wirehaired,medium,,,,,,,,garden
3516,Liza,1.08,female,Unknown Mix,11/11/19,12/14/19,11/13/19,black,short,medium,,,yes,yes,yes,,,garden
3520,Sajti,12.67,male,Unknown Mix,3/1/09,3/1/09,11/13/19,white,long,large,,,,,,,,
1778,Alsónémedi Sidney,0.42,female,"Dachshund, German Shepherd Dog Mix",11/11/19,11/11/19,11/12/19,black,short,small,no,,yes,yes,yes,yes,yes,both flat and garden
1390,Mazda,4.25,male,Unknown Mix,3/16/18,3/16/18,11/14/19,apricot,short,large,yes,yes,yes,,no,yes,yes,both flat and garden
1781,Miskolci Lupidu,1.17,male,Staffordshire Terrier Mix,11/12/19,11/12/19,11/12/19,striped,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1388,Gina És Genova,0.17,female,Unknown Mix,9/20/19,9/20/19,11/14/19,black,short,medium,,no,yes,yes,yes,yes,yes,both flat and garden
23734,,2,male,Unknown Mix,10/26/19,11/10/19,11/14/19,yellow-brown,short,small,no,,,,,,,
23719,,6.08,male,Staffordshire Terrier Mix,11/6/19,11/21/19,11/6/19,brown and white,short,medium,no,,,,,,,
2123,Kormi,6.5,male,Unknown Mix,10/7/19,10/7/19,11/2/19,black,short,medium,yes,,,,,,,
23717,*,1.08,female,German Shepherd Dog Mix,11/6/19,11/21/19,11/6/19,saddle back,medium,medium,no,,,,,,,
2127,Cézár,7.33,male,Unknown Mix,10/7/19,10/7/19,11/2/19,brown,short,large,,,,,,,,
2124,Lili,3.5,female,Cane Corso Mix,10/7/19,10/7/19,11/2/19,brown,short,large,yes,,,,,,,
312,Zénó,0.5,male,Jagd Terrier Mix,11/1/19,11/1/19,11/2/19,black and tan,short,medium,,,yes,yes,,,,both flat and garden
4472,Marley,0.5,female,Unknown Mix,10/31/19,10/31/19,11/6/19,white,short,small,,,yes,,yes,yes,,both flat and garden
1773,Ózdi Hello,1.33,male,Unknown Mix,11/11/19,11/11/19,11/11/19,black,short,small,yes,,yes,yes,yes,yes,yes,both flat and garden
1036,Szolnoki Királyfi,2.25,male,Whippet Mix,11/1/19,11/2/19,11/10/19,spotty,short,medium,yes,yes,,,,,,flat
3512,Lujzi,1.42,female,Unknown Mix,11/2/19,12/14/19,11/5/19,black and brown,short,small,,,yes,,yes,,,garden
4470,Sün,0.5,male,Unknown Mix,10/31/19,10/31/19,11/6/19,black and brown,short,small,,,yes,,yes,yes,,both flat and garden
2125,Elsa,2.33,female,Unknown Mix,10/7/19,10/7/19,11/2/19,brown,short,medium,yes,,,,,,,
2129,Jockey,1.58,male,Unknown Mix,10/7/19,10/7/19,11/6/19,brown,short,large,yes,,,,,,,
1774,Ózdi Timon,3.25,male,Norfolk Terrier Mix,11/11/19,11/11/19,11/11/19,brown and white,short,small,yes,,yes,yes,yes,yes,yes,both flat and garden
4473,Lili,0.75,female,Unknown Mix,10/6/19,10/6/19,11/6/19,brown,short,small,,,yes,,yes,yes,,both flat and garden
4474,Aspen,1.58,female,Unknown Mix,10/31/19,10/31/19,11/6/19,apricot,medium,small,,,yes,,yes,yes,,both flat and garden
23711,Liza,2.58,female,Unknown Mix,11/2/19,11/2/19,11/2/19,brown and white,short,medium,yes,,,,,,,
1035,Szigetszentmiklósi Füge,1.17,male,Greyhound Mix,11/5/19,11/6/19,11/5/19,spotty,short,medium,yes,yes,yes,,,,,flat
4469,Pongo,0.67,male,Unknown Mix,10/31/19,10/31/19,11/6/19,apricot,short,medium,,,yes,,,,,both flat and garden
4468,Leopold,0.15,male,Unknown Mix,10/24/19,10/24/19,11/6/19,black and brown,medium,medium,,,yes,,yes,yes,,both flat and garden
3505,Kincsõ,2.17,female,Dalmatian Mix,10/14/19,1/1/20,10/20/19,white,short,medium,,,,,,,,garden
1755,Pétervásásrai Robin,0.25,male,Unknown Mix,9/19/19,11/1/19,10/21/19,white,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
1033,Siófoki Szafi,11.08,female,Greyhound Mix,8/31/19,9/3/19,10/26/19,yellow,short,medium,yes,yes,yes,yes,yes,yes,,flat
3506,Kira,3.17,female,Unknown Mix,10/14/19,11/16/19,10/20/19,striped,short,medium,yes,,yes,yes,yes,,,both flat and garden
1757,Pétervásásrai Ralf,0.25,male,Unknown Mix,9/19/19,9/19/19,10/21/19,brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
1758,Nemesbikki Pandóra,4.08,female,Bull Terrier Mix,10/1/19,10/1/19,10/22/19,striped,short,small,no,,yes,yes,yes,yes,no,both flat and garden
1034,Szegedi Galagonya,0.92,male,Greyhound Mix,10/29/19,10/30/19,10/29/19,white,short,medium,yes,,yes,,,,,flat
4464,Greta,0.67,female,Unknown Mix,10/25/19,10/25/19,10/27/19,black,short,small,,,yes,,yes,yes,,both flat and garden
1028,Csengersimai Zumba,0.5,male,Greyhound Mix,10/21/19,11/15/19,10/23/19,black and white,short,medium,yes,,yes,yes,yes,yes,,flat
2106,Kormi,6.5,male,Unknown Mix,10/7/19,10/7/19,10/27/19,black,short,medium,yes,,,,,,,
23692,Bony,1.08,male,Unknown Mix,10/25/19,10/25/19,10/26/19,gray and black,wirehaired,large,no,,,,,,,
139,Igor,3.08,male,Border Collie Mix,9/10/19,9/10/19,10/28/19,black and white,medium,medium,,yes,yes,no,no,no,no,
4462,Jeremy,5.08,male,Unknown Mix,10/20/19,10/20/19,10/27/19,apricot,short,small,,,yes,,yes,yes,no,both flat and garden
1762,Pulcsi,11.08,female,Puli Mix,4/15/19,4/15/19,10/23/19,black,long,medium,yes,yes,yes,yes,yes,yes,,flat
4465,Daniel,0.67,male,Unknown Mix,10/22/19,10/22/19,10/27/19,black and brown,medium,small,,,yes,yes,yes,yes,yes,both flat and garden
1759,Miskolci Ábel,9.08,male,Unknown Mix,6/30/19,7/30/19,10/23/19,yellow-brown,long,medium,yes,yes,yes,no,yes,yes,,both flat and garden
1760,Monori Lucia,6.25,female,Unknown Mix,7/27/19,9/1/19,10/23/19,black and white,short,small,yes,yes,yes,yes,yes,yes,,flat
3504,Kinga,1.17,female,Terrier Mix,10/11/19,11/16/19,10/20/19,black and brown,wirehaired,medium,,,yes,yes,yes,,,both flat and garden
1764,Ócsai Pici,12.08,male,Unknown Mix,10/22/19,10/22/19,10/30/19,gray and black,wirehaired,medium,no,,yes,yes,yes,yes,yes,both flat and garden
4463,Gufi,0.67,male,Unknown Mix,10/25/19,10/25/19,10/27/19,black,short,small,,,yes,,yes,yes,,both flat and garden
4453,Lamoborgini,1.08,male,Unknown Mix,10/18/19,10/18/19,10/18/19,black and white,long,medium,,,yes,,yes,yes,,both flat and garden
2865,Beki,7.17,female,Labrador Retriever,5/1/19,5/1/19,10/11/19,yellow,short,large,,,,,,,,
1025,Kaposvári Remény,0.58,male,Greyhound Mix,7/1/19,8/2/19,10/19/19,striped,short,medium,yes,yes,yes,yes,yes,yes,,flat
2864,Zsömi,5.17,male,"Golden Retriever, Labrador Retriever Mix",4/11/19,4/11/19,10/11/19,yellow,short,large,,,,,,,,
1027,Kaposvári Szikra,0.58,male,Greyhound Mix,7/1/19,8/1/19,10/19/19,striped,short,medium,yes,yes,yes,yes,yes,yes,,flat
4451,Jessie,1.17,female,Unknown Mix,9/20/19,9/20/19,10/18/19,brown and white,short,medium,yes,,yes,,,,,both flat and garden
2868,Sally,7.17,female,Golden Retriever,10/8/19,10/8/19,10/11/19,golden,medium,large,,,,,,,,
1749,Kakucsi Hazel,0.25,female,"German Shepherd Dog, Staffordshire Terrier Mix",10/15/19,10/15/19,10/15/19,yellow-brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
4457,Babi,1.17,female,Unknown Mix,9/21/19,9/21/19,10/18/19,apricot,short,medium,yes,,yes,,,,,both flat and garden
2866,Brunó,3.17,male,Labrador Retriever,5/31/19,5/31/19,10/11/19,yellow,short,large,,,,,,,,
4455,Ewoki,3,female,Unknown Mix,9/27/19,9/27/19,10/18/19,black and white,long,small,,,yes,,yes,yes,,both flat and garden
1751,Kunhegyesi Fickó,1.5,male,Unknown Mix,10/16/19,10/16/19,10/16/19,gray,wirehaired,medium,yes,,yes,yes,yes,yes,,both flat and garden
2867,Bodza,1.17,female,Labrador Retriever,6/1/19,6/1/19,10/11/19,yellow,short,medium,,,,,,,,
23679,,4.08,male,Unknown Mix,10/19/19,11/3/19,10/19/19,striped,short,large,no,,,,,,,
1750,Sátoraljaújhelyi Parázs,1.08,male,German Shepherd Dog Mix,10/15/19,10/15/19,10/16/19,brown,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
23660,Dzsidzso,3.67,male,Staffordshire Terrier Mix,10/11/19,10/26/19,10/12/19,brown and white,short,medium,no,,,,,,,
4456,Boy,1.17,male,Unknown Mix,9/21/19,9/21/19,10/18/19,black and brown,short,medium,,,yes,,,,,both flat and garden
615,Colin,0.92,male,Border Collie Mix,5/6/19,5/6/19,10/14/19,black and white,medium,medium,yes,yes,yes,yes,yes,yes,,flat
4454,Poppy,0.5,female,"Dachshund, Spaniel Mix",10/17/19,10/17/19,10/18/19,brown and white,medium,small,,,yes,,yes,yes,,both flat and garden
23661,Rapi,10.42,male,Unknown Mix,10/12/19,10/27/19,10/12/19,black and white,short,medium,no,,,,,,,
2856,Rizi,11.17,female,Labrador Retriever,1/1/19,1/1/19,10/11/19,yellow,short,large,,,,,,,,both flat and garden
3492,Berci,6.25,male,Unknown Mix,9/27/19,9/27/19,10/6/19,tricolor,short,medium,yes,,yes,,yes,yes,,garden
1738,Ócsai Lajka,1,male,Labrador Retriever Mix,10/7/19,10/21/19,10/7/19,yellow-brown,short,medium,yes,,yes,yes,yes,yes,yes,both flat and garden
2863,Maxi,4.17,male,Golden Retriever,4/13/19,4/13/19,10/11/19,golden,medium,large,,,,,,,,
2859,Hummer,3.17,male,Labrador Retriever,1/1/19,1/1/19,10/11/19,yellow,short,large,,,,,,,,
3487,Kleo,0.5,female,Unknown Mix,9/10/19,10/26/19,10/6/19,black,medium,medium,yes,,yes,yes,yes,,,both flat and garden
2855,Mefi,13.17,female,Labrador Retriever,1/1/19,1/1/19,10/11/19,black,short,large,,,,,,,,
3490,Joker,4.58,male,Unknown Mix,9/16/19,9/16/19,10/6/19,brown,wirehaired,medium,,,yes,,,,,both flat and garden
4443,Sayla,1.25,female,Spaniel Mix,9/29/19,9/29/19,10/6/19,black and brown,medium,small,,,yes,,,,,both flat and garden
3491,Sárika,1.25,female,Chinese Shar-Pei Mix,9/17/19,11/16/19,10/6/19,brown,wirehaired,medium,,,,,,,,both flat and garden
2857,Fickó,11.17,male,Labrador Retriever,1/1/19,1/1/19,10/11/19,yellow,short,large,,,,,,,,
4445,Tristan,0.42,male,Unknown Mix,9/13/19,9/13/19,10/6/19,gray and white,short,medium,,,yes,,yes,yes,,both flat and garden
2853,Berci,12.17,male,Labrador Retriever,1/1/19,1/1/19,10/11/19,yellow,short,large,,,,,,,,
2852,Lucky,12.17,male,Labrador Retriever,1/1/19,1/1/19,10/11/19,black,short,large,,,yes,yes,yes,yes,,both flat and garden
3493,Janek,1.25,male,Dachshund Mix,9/28/19,11/2/19,10/6/19,black,short,small,,,yes,,,,,both flat and garden
2858,Boni,11.17,male,Golden Retriever,1/1/19,1/1/19,10/11/19,golden,short,large,,,,,,,,
2862,Gray,6.17,male,Labrador Retriever,2/21/19,2/21/19,10/11/19,yellow,short,large,,,,,,,,
2860,Bubuka,6.17,male,Labrador Retriever,1/1/19,1/1/19,10/11/19,black,short,large,yes,,,,,,,
2854,Beni,11.17,male,Labrador Retriever,1/1/19,1/1/19,10/11/19,yellow,short,large,,,,,,,,
2861,Erl,8.17,male,Labrador Retriever,2/21/19,2/21/19,10/11/19,yellow,short,large,,,,,,,,
4425,Tália,1.58,female,Pinscher Mix,9/15/19,9/15/19,9/28/19,apricot,short,small,,,yes,,,,,both flat and garden
4420,Amarillys,0.67,male,German Shepherd Dog Mix,8/24/19,8/24/19,9/28/19,black and brown,short,medium,,,yes,,yes,yes,,both flat and garden
4417,Latte,0.25,female,Unknown Mix,9/21/19,9/21/19,9/28/19,black,medium,medium,,,yes,,yes,yes,,both flat and garden
4404,Ronaldo,0.33,male,Unknown Mix,8/5/19,8/5/19,9/28/19,apricot,short,medium,,,yes,,yes,yes,,both flat and garden
4440,Emmi,0.92,female,Unknown Mix,8/11/19,8/11/19,9/28/19,black and brown,short,small,,,yes,,,,,both flat and garden
4406,Ramona,0.33,female,Unknown Mix,8/5/19,8/5/19,9/28/19,apricot,short,medium,,,yes,,yes,yes,,both flat and garden
